requirement_id,category,summary,satisfied_by_docs,evidence_path,current_status
IXB-REQ-001,mission_framing,rescue_biased_survivability_architecture_not_total_replacement,"docs/00_PROJECT_CHARTER.md; docs/03_MASTER_ARCHITECTURE.md; README.md","I;R",mapped
IXB-REQ-002,mission_framing,delayed_ingress_and_separation_contingency_as_primary_use_case,"docs/00_PROJECT_CHARTER.md; docs/01_MISSION_REQUIREMENTS.md; docs/03_MASTER_ARCHITECTURE.md","I",mapped
IXB-REQ-003,mission_framing,remain_backpack_class_and_not_depend_on_full_suit_redesign,"docs/00_PROJECT_CHARTER.md; docs/05_PACKAGING_ENVELOPE.md; docs/03_MASTER_ARCHITECTURE.md","I;A",mapped
IXB-REQ-004,mission_framing,non_weapon_life_preserving_architecture_only,"docs/00_PROJECT_CHARTER.md; docs/04_DONOR_FEATURE_FILTER.md; README.md","I",mapped
IXB-REQ-005,mission_framing,all_performance_statements_typed_and_bounded,"docs/00_PROJECT_CHARTER.md; docs/11_MODEL_BASELINE.md; README.md","I;R",mapped
IXB-REQ-006,mission_framing,no_flight_or_operational_readiness_claims_without_evidence,"docs/00_PROJECT_CHARTER.md; docs/12_VALIDATION_AND_HAZARD_PLAN.md; README.md","I;R",mapped

IXB-REQ-100,life_support,closed_breathing_gas_circulation_loop,"docs/03_MASTER_ARCHITECTURE.md; docs/08_LIFE_SUPPORT_CORE.md","I;T",mapped_planned_validation
IXB-REQ-101,life_support,controlled_oxygen_makeup_capability,"docs/08_LIFE_SUPPORT_CORE.md; docs/06_REAL_WORLD_BOM.md","I;T",mapped_planned_validation
IXB-REQ-102,life_support,backpack_class_co2_removal_function,"docs/08_LIFE_SUPPORT_CORE.md; docs/06_REAL_WORLD_BOM.md","I;T",mapped_planned_validation
IXB-REQ-103,life_support,integrated_humidity_and_water_management,"docs/08_LIFE_SUPPORT_CORE.md; docs/09_THERMAL_RESOURCE_COUPLING.md; docs/06_REAL_WORLD_BOM.md","I;A;T",mapped_planned_validation
IXB-REQ-104,life_support,isolated_emergency_oxygen_reserve,"docs/08_LIFE_SUPPORT_CORE.md; docs/06_REAL_WORLD_BOM.md; docs/10_FDIR_AND_STATE_MACHINE.md","I;T",mapped_planned_validation
IXB-REQ-105,life_support,rescue_mode_strategy_preserves_emergency_oxygen_until_trigger,"docs/08_LIFE_SUPPORT_CORE.md; docs/10_FDIR_AND_STATE_MACHINE.md","A;I;T",mapped_planned_validation
IXB-REQ-106,life_support,bounded_real_world_oxygen_regeneration_extension_path,"docs/08_LIFE_SUPPORT_CORE.md; docs/09_THERMAL_RESOURCE_COUPLING.md; docs/06_REAL_WORLD_BOM.md","I;A;T",mapped_planned_validation
IXB-REQ-107,life_support,no_exotic_matter_element115_rf_primary_power_or_perpetual_motion_logic,"docs/00_PROJECT_CHARTER.md; docs/04_DONOR_FEATURE_FILTER.md; README.md","I",mapped
IXB-REQ-108,life_support,manual_crew_accessible_emergency_breathing_support_path,"docs/08_LIFE_SUPPORT_CORE.md; docs/10_FDIR_AND_STATE_MACHINE.md","I;D",mapped_planned_validation
IXB-REQ-109,life_support,loop_pressure_oxygen_and_co2_awareness_for_fault_detection,"docs/08_LIFE_SUPPORT_CORE.md; docs/06_REAL_WORLD_BOM.md","I;T",mapped_planned_validation
