bom_id,subsystem,item,function,band,selection,selection_posture,notes
IXB-S1-001,S1,dual_redundant_brushless_circulation_blowers,maintain_closed_loop_gas_circulation,B2,Required,compact_high_reliability_blower_pair_with_independent_drive_paths,dual_path_supports_fail_operational_posture
IXB-S1-002,S1,co2_removal_cartridge_assembly,remove_co2_from_closed_loop,B2,Required,RCA_style_amine_swing_bed_or_equivalent_backpack_class_lane,baseline_favors_suit_relevant_lane
IXB-S1-003,S1,humidity_removal_condensate_interface_block,remove_water_from_loop_and_feed_S4,B2,Required,integrated_condensing_interface_or_humidity_extraction_stage,must_connect_honestly_into_water_accounting
IXB-S1-004,S1,breathing_gas_manifold_block,distribute_return_gas_conditioned_gas_and_o2_makeup,B3,Required,custom_manifold_assembly_in_low_leak_materials,short_internal_gas_path_is_package_driver
IXB-S1-005,S1,oxygen_partial_pressure_sensing_set,monitor_breathable_gas_condition,B2,Required,triplex_o2_sensing_with_voting_cross_check_logic,sensor_diversity_preferred_later
IXB-S1-006,S1,co2_sensing_set,monitor_scrubber_performance_and_crew_hazard_state,B2,Required,dual_co2_sensors_with_plausibility_checks,needed_for_alerting_and_FDIR
IXB-S1-007,S1,humidity_sensing_set,support_condensate_accounting_and_loop_control,B1,Required,dual_humidity_sensors_in_conditioned_locations,supports_S4_and_thermal_logic
IXB-S1-008,S1,loop_pressure_transducers,monitor_loop_pressure_and_distribution_health,B2,Required,redundant_pressure_transducers_with_protected_sensing_lines,critical_for_leak_fault_detection
IXB-S1-009,S1,isolation_bypass_valve_set,isolate_failed_sections_and_support_fallback_gas_routing,B2,Required,latching_or_normally_safe_valve_set_with_manual_override,key_FDIR_item
IXB-S1-010,S1,trace_contaminant_placeholder_volume,future_compatible_contaminant_control_slot,B3,Deferred,reserved_package_space_only_phase_1,do_not_fake_final_chemistry
IXB-S2-001,S2,primary_oxygen_pressure_vessel_set,nominal_stored_o2_supply,B2,Required,compact_composite_pressure_vessel_pair_or_equivalent,exact_geometry_left_open
IXB-S2-002,S2,isolated_emergency_oxygen_vessel,protected_last_line_oxygen_reserve,B2,Required,separately_valved_and_physically_isolated_reserve_vessel,may_be_independent_bottle_or_isolated_chamber
IXB-S2-003,S2,primary_regulator_stage,reduce_primary_storage_pressure_to_controlled_delivery,B2,Required,dual_stage_or_functionally_equivalent_regulated_path,stable_makeup_control_required
IXB-S2-004,S2,emergency_regulator_stage,provide_simplified_reserve_oxygen_delivery,B2,Required,independent_regulator_path_with_minimal_dependency_chain,emergency_logic_simpler_than_nominal
IXB-S2-005,S2,check_valve_and_backflow_isolation_set,prevent_backflow_and_reserve_contamination,B1,Required,oxygen_compatible_valve_set,simple_part_high_consequence
IXB-S2-006,S2,oxygen_rated_shutoff_selector_valve_set,isolate_primary_vs_emergency_flow_paths,B2,Required,latching_or_protected_selection_valves,supports_reserve_protection_policy
