```csv
state,lighting_class,power_margin,thermal_margin,water_class,solar_path_posture,regen_gate_result,expected_action
Nominal,LC1_or_LC2,high,high,WQ1_or_WQ2,ignored_or_optional,RG-1,maintain_normal_operation_and_log_resources
Nominal,LC3,high,high,WQ1_or_WQ2,unavailable,RG-1,keep_regen_off_or_tightly_limited
Conserve,LC1,moderate,moderate,WQ1_or_WQ2,accept_if_clean,RG-1_or_RG-2,reduce_noncritical_loads_and_allow_only_bounded_extension
Conserve,LC2,moderate,moderate,WQ1_or_WQ2,conditional,RG-1,avoid_counting_unstable_solar_as_anchor_resource
Conserve,LC3,moderate,moderate,WQ1_or_WQ2,none,RG-0_or_RG-1,preserve_battery_and_bias_against_regen
Rescue,LC1,moderate_or_high,high,WQ1,accept_if_valid,RG-2_or_RG-3,run_bounded_regen_only_if_full_gate_passes
Rescue,LC1,moderate_or_high,high,WQ2,accept_if_valid,RG-2,allow_conservative_regen_with_conditioned_recovered_water
Rescue,LC1,low,high,WQ1_or_WQ2,accept_if_valid,RG-1,use_solar_to_reduce_drain_but_do_not_force_regen
Rescue,LC1,moderate,low,WQ1_or_WQ2,accept_if_valid,RG-0,deny_regen_due_to_thermal_constraint
Rescue,LC2,moderate,moderate,WQ1,conditional,RG-1_or_RG-2,only_limited_regen_if_instability_is_low_and_payoff_is_positive
Rescue,LC2,low,moderate,WQ1_or_WQ2,conditional,RG-0_or_RG-1,preserve_core_survival_do_not_anchor_on_intermittent_solar
Rescue,LC3,moderate_or_high,high,WQ1,none,RG-1_or_RG-2,allow_only_carefully_bounded_regen_if_battery_and_thermal_margins_can_pay_for_it
Rescue,LC3,low,any,WQ1_or_WQ2,none,RG-0,preserve_battery_for_B1_B2_and_core_survival
Critical,any,low_or_falling,any,any,drop_if_needed,RG-0,shut_down_extension_loads_and_defend_B1_B2
Critical,any,moderate,low,any,drop_if_heating,RG-0,enter_deeper_thermal_derate_and_preserve_core_functions
Safe-Hold,any,any,any,any,stowed_or_ignored,RG-0,maintain_latched_minimum_survival_posture
Service,any,external_power_or_controlled,controlled,qualified_only,test_only,RG-0_or_RG-1,service_diagnostics_and_no_eva_regen_claims
