```csv id="f2n8q4"
from_state,to_state,transition_class,allowed,primary_trigger_family,guard_posture,latch_expectation,notes
Service,Nominal,T-G,yes,readiness_and_checkout,requires_clean_pre_eva_qualification,none_or_informational,normal_entry_to_eva_capable_operation
Service,Service,T-N,yes,service_workflow,controlled_service_only,none,maintenance_and_recharge_loop
Nominal,Conserve,T-N,yes,resource_or_advisory_degradation,margin_decline_or_proactive_preservation,informational_or_operational,first_step_down_in_freedom
Nominal,Rescue,T-N_or_T-G,yes,mission_context_or_crew_command,separation_or_delayed_ingress_or_explicit_rescue_objective,operational_possible,survival_extension_becomes_primary_goal
Nominal,Critical,T-G,yes,major_life_support_or_margin_threat,requires_direct_survival_risk_or_major_subsystem_loss,operational_or_safety,not_a_routine_transition
Nominal,Safe-Hold,T-G,yes,control_ambiguity_or_unsafe_fault,requires_untrustworthy_dynamic_control_or_invalid_state_logic,safety_or_protected,prevents_false_nominal_behavior
Conserve,Nominal,T-G,yes,restored_margin_and_confidence,requires_original_trigger_cleared_and_no_major_latch,clear_prior_operational_latch_only,no_optimistic_bounceback
Conserve,Rescue,T-N,yes,mission_context_or_crew_command,rescue_objective_now_dominant,operational_possible,survival_extension_priority
Conserve,Critical,T-G,yes,worsening_margin_or_major_fault,requires_clear_survival_threat,operational_or_safety,step_down_due_to_escalation
Conserve,Safe-Hold,T-G,yes,control_ambiguity_or_invalid_reconfiguration,requires_unsafe_ambiguity_or_failed_recovery,safety_or_protected,latched_protective_posture
Rescue,Conserve,T-G,yes,reduced_rescue_need_and_restored_margin,requires_cleaner_state_and_non_dominant_rescue_objective,operational_possible,guarded_partial_recovery
Rescue,Critical,T-G,yes,worsening_survival_posture,requires_loss_of_margin_or_major_subsystem_problem,operational_or_safety,extension_logic_no_longer_affordable
Rescue,Safe-Hold,T-G,yes,unsafe_dynamic_control_or_resource_contradiction,requires_control_or_resource_ambiguity,safety_or_protected,deny_complex_behavior_and_latch
Critical,Rescue,T-G,yes,exceptional_partial_recovery,requires_re_stabilized_core_and_watchdog_agreement,operational_or_safety,rare_and_guarded
Critical,Conserve,T-F,no,not_applicable,forbidden,not_applicable,cannot_skip_back_to_mild_degrade
Critical,Nominal,T-F,no,not_applicable,forbidden,not_applicable,direct_return_to_nominal_not_allowed
Critical,Safe-Hold,T-N_or_T-G,yes,unsafe_to_continue_dynamic_control,requires_loss_of_trust_or_need_for_latched_minimum,safety_or_protected,common_endpoint_for_unsafe_ambiguity
Safe-Hold,Rescue,T-G,yes,guarded_exceptional_recovery,requires_bounded_fault_cause_and_reestablished_minimum_trust,protected,rare_reentry_to_dynamic_survival_mode
Safe-Hold,Nominal,T-F,no,not_applicable,forbidden,not_applicable,no_direct_return_from_latched_protected_state
Safe-Hold,Conserve,T-F,no,not_applicable,forbidden,not_applicable,no_direct_return_from_latched_protected_state
Safe-Hold,Critical,T-G,yes,new_hazard_while_latched,requires_active_survival_threat_during_safe_hold,protected,latched_state_can_still_face_worsening_conditions
Safe-Hold,Service,T-G,yes,controlled_post_event_or_maintenance_entry,requires_non_eva_controlled_access,protected_or_cleared_under_service_rules,main_post_fault_resolution_path
Nominal,Service,T-F,no,not_applicable,forbidden,not_applicable,eva_mode_does_not_drop_directly_to_service
Conserve,Service,T-F,no,not_applicable,forbidden,not_applicable,eva_mode_does_not_drop_directly_to_service
Rescue,Service,T-F,no,not_applicable,forbidden,not_applicable,eva_mode_does_not_drop_directly_to_service
Critical,Service,T-F,no,not_applicable,forbidden,not_applicable,must_pass_through_controlled_safe_or_post_event_path
